Speaker,Model,Page,Similarity,Naturalness
Sample_voice2,your_tts,Page2,0.4443898890167475,4.732390501517638
Sample_voice2,elevenlabs,Page3,0.1320882374420762,4.466099753714729
Sample_voice2,elevenlabs,Page2,0.09609542274847627,3.0922597636181095
Sample_voice2,your_tts,Page3,0.44738611578941345,3.7880882489788243
Sample_voice2,your_tts,Page1,0.4371876772493124,3.84509909086916
Sample_voice2,elevenlabs,Page1,0.07978774094954133,3.9540959865603726
Sample_voice2,vits,Page1,0.08695147791877389,4.520112881220852
Sample_voice2,vits,Page2,0.10420703096315265,4.826367953431065
Sample_voice2,vits,Page3,0.06952398177236319,4.61518182439136
Sample_voice2,openai_tts,Page3,0.05956992437131703,3.1769527810393376
Sample_voice2,openai_tts,Page2,0.06845078035257757,4.145970113867231
Sample_voice2,openai_tts,Page1,0.029764989943942055,4.765542780014713
Sample_voice3,vits,Page3,0.011944845085963607,3.0270769435296048
Sample_voice3,vits,Page2,0.04434064636006951,4.690020083894961
Sample_voice3,elevenlabs,Page1,0.03177563229110092,4.110175766556549
Sample_voice3,elevenlabs,Page3,0.07002310524694622,4.1218025347779275
Sample_voice3,vits,Page1,0.08563589723780751,4.59105296059999
Sample_voice3,elevenlabs,Page2,0.07308400887995958,4.361018370065082
Sample_voice3,openai_tts,Page1,-0.0316992977168411,4.0962150990627775
Sample_voice3,openai_tts,Page3,0.04095437657088041,3.0929145579144035
Sample_voice3,openai_tts,Page2,-0.03562485962174833,3.310685843199705
Sample_voice3,your_tts,Page3,0.5046421401202679,3.036942607518765
Sample_voice3,your_tts,Page2,0.44809679687023163,3.3502485005616363
Sample_voice3,your_tts,Page1,0.43655915558338165,4.503251370647498
Sample_voice1,openai_tts,Page1,6.198432917396228e-05,4.83429599333831
Sample_voice1,your_tts,Page1,0.5335082858800888,3.5448666671432107
Sample_voice1,vits,Page1,-0.1128224494556586,3.610911301073086
Sample_voice1,vits,Page3,-0.09013655160864194,3.4121880114042504
Sample_voice1,your_tts,Page3,0.45394936700661975,4.510314134843069
Sample_voice1,openai_tts,Page2,0.0185353085398674,3.552291983903429
Sample_voice1,your_tts,Page2,0.5021562973658243,3.5831658601073624
Sample_voice1,openai_tts,Page3,0.01325229291493694,4.662354822512578
Sample_voice1,vits,Page2,-0.059899511436621346,3.3377679448717608
Sample_voice1,elevenlabs,Page1,0.6138345499833425,4.923583030841235
Sample_voice1,elevenlabs,Page2,0.6716095308462778,3.297488144781645
Sample_voice1,elevenlabs,Page3,0.6212682177623113,4.044578868401988
