Voice,Page,Model,Original File,Cloned File,Cosine Similarity
Sample_voice1,Page1,your_tts,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page1_your_tts.wav,1.0
Sample_voice1,Page2,your_tts,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page2_your_tts.wav,-1.0
Sample_voice1,Page3,your_tts,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page3_your_tts.wav,1.0
Sample_voice1,Page1,vits,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page1_vits.wav,-1.0
Sample_voice1,Page2,vits,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page2_vits.wav,-1.0
Sample_voice1,Page3,vits,data/Sample_voice1/p340_001.wav,data/Sample_voice1/results/p340_001_Page3_vits.wav,-1.0
Sample_voice2,Page1,your_tts,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page1_your_tts.wav,-1.0
Sample_voice2,Page2,your_tts,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page2_your_tts.wav,-1.0
Sample_voice2,Page3,your_tts,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page3_your_tts.wav,-1.0
Sample_voice2,Page1,vits,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page1_vits.wav,-1.0
Sample_voice2,Page2,vits,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page2_vits.wav,-1.0
Sample_voice2,Page3,vits,data/Sample_voice2/p267_001.wav,data/Sample_voice2/results/p267_001_Page3_vits.wav,-1.0
Sample_voice3,Page1,your_tts,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page1_your_tts.wav,-1.0
Sample_voice3,Page2,your_tts,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page2_your_tts.wav,-1.0
Sample_voice3,Page3,your_tts,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page3_your_tts.wav,-1.0
Sample_voice3,Page1,vits,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page1_vits.wav,-1.0
Sample_voice3,Page2,vits,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page2_vits.wav,-1.0
Sample_voice3,Page3,vits,data/Sample_voice3/p227_001.wav,data/Sample_voice3/results/p227_001_Page3_vits.wav,-1.0
Sample_voice4,Page1,your_tts,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page1_your_tts.wav,-1.0
Sample_voice4,Page2,your_tts,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page2_your_tts.wav,-1.0
Sample_voice4,Page3,your_tts,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page3_your_tts.wav,-1.0
Sample_voice4,Page1,vits,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page1_vits.wav,-1.0
Sample_voice4,Page2,vits,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page2_vits.wav,-1.0
Sample_voice4,Page3,vits,data/Sample_voice4/p253_001.wav,data/Sample_voice4/results/p253_001_Page3_vits.wav,-1.0
Sample_voice5,Page1,your_tts,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page1_your_tts.wav,-1.0
Sample_voice5,Page2,your_tts,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page2_your_tts.wav,-1.0
Sample_voice5,Page3,your_tts,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page3_your_tts.wav,-1.0
Sample_voice5,Page1,vits,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page1_vits.wav,-1.0
Sample_voice5,Page2,vits,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page2_vits.wav,-1.0
Sample_voice5,Page3,vits,data/Sample_voice5/p330_001.wav,data/Sample_voice5/results/p330_001_Page3_vits.wav,-1.0
